,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Data
0,Dingle,11.0,122.67,83.88,81,48,9.22,PH,1605339589
1,Saint-Philippe,-21.36,55.77,75.2,78,90,16.11,RE,1605339486
2,Clyde River,70.47,-68.59,17.6,72,90,23.04,CA,1605339516
3,Qaanaaq,77.48,-69.36,1.58,81,91,4.94,GL,1605339332
4,Isangel,-19.55,169.27,80.6,83,75,5.82,VU,1605339553
5,George Town,5.41,100.34,89.6,79,20,8.05,MY,1605339974
6,Albany,42.6,-73.97,44.01,69,52,4.0,US,1605339974
7,Klaksvík,62.23,-6.59,44.6,87,0,11.41,FO,1605339974
8,Tomatlán,19.93,-105.25,69.64,94,100,1.5,MX,1605339562
9,Teguise,29.06,-13.56,68.0,77,20,4.7,ES,1605339975
10,Lapua,62.97,23.01,37.99,93,100,3.0,FI,1605339975
11,Ushuaia,-54.8,-68.3,35.6,93,75,29.97,AR,1605339282
12,Sibolga,1.74,98.78,86.29,66,100,4.94,ID,1605339975
13,Hamilton,39.18,-84.53,34.0,92,1,3.36,US,1605339447
14,Namatanai,-3.67,152.43,82.24,77,33,9.89,PG,1605339976
15,Bethel,41.37,-73.41,37.99,100,1,6.04,US,1605339451
16,Grajaú,-5.82,-46.14,73.17,87,98,2.71,BR,1605339976
17,Dikson,73.51,80.55,10.92,96,100,28.88,RU,1605339333
18,Katherine,-14.47,132.27,104.0,26,40,6.93,AU,1605339507
19,Saldanha,-33.01,17.94,64.4,59,100,3.36,ZA,1605339527
20,Grand Gaube,-20.01,57.66,80.01,76,31,8.99,MU,1605339521
21,Saskylakh,71.92,114.08,-8.03,90,77,3.29,RU,1605339500
22,New Norfolk,-42.78,147.06,62.01,50,99,1.99,AU,1605339480
23,Aizpute,56.72,21.6,39.2,93,96,6.93,LV,1605339978
24,Esperance,-33.87,121.9,71.6,53,75,14.99,AU,1605339505
25,Ripky,51.8,31.08,36.48,90,100,9.37,UA,1605339978
26,Port Alfred,-33.59,26.89,73.29,64,11,21.79,ZA,1605339181
27,Busselton,-33.65,115.33,60.01,82,72,1.99,AU,1605339445
28,Rikitea,-23.12,-134.97,75.34,83,100,14.45,PF,1605339323
29,Burgersdorp,-31.0,26.33,81.12,25,60,12.53,ZA,1605339979
30,Port Lincoln,-34.73,135.87,66.36,60,0,12.88,AU,1605339469
31,Bluff,-46.6,168.33,60.01,79,100,8.1,NZ,1605339454
32,Clonakilty,51.62,-8.87,51.01,100,90,19.46,IE,1605339980
33,Moerai,-22.43,-151.33,76.57,85,94,2.66,PF,1605339980
34,Hobart,-42.88,147.33,63.0,45,75,12.75,AU,1605339323
35,Lavrentiya,65.58,-171.0,23.81,93,48,15.84,RU,1605339510
36,Tegul'det,57.31,88.17,25.21,95,94,5.14,RU,1605339566
37,Japura,-0.32,102.35,86.02,74,77,4.18,ID,1605339981
38,Pontianak,-0.03,109.33,83.44,82,99,6.64,ID,1605339756
39,Jasper,37.2,-94.35,55.99,50,90,11.41,US,1605339981
40,Broome,42.25,-75.83,41.0,74,90,6.93,US,1605339544
41,Jamestown,42.1,-79.24,39.99,83,90,5.82,US,1605339296
42,Hasaki,35.73,140.83,60.8,55,20,9.17,JP,1605339454
43,Pevek,69.7,170.31,2.19,95,99,7.83,RU,1605339520
44,Cidreira,-30.18,-50.21,68.45,92,19,10.98,BR,1605339444
45,Port Elizabeth,-33.92,25.57,68.0,72,40,24.16,ZA,1605339455
46,Punta Arenas,-53.15,-70.92,37.4,86,40,23.04,CL,1605339458
47,Tuktoyaktuk,69.45,-133.04,3.2,77,90,17.22,CA,1605339288
48,Kamaishi,39.27,141.88,50.0,53,20,9.17,JP,1605339983
49,Mataura,-46.19,168.86,60.01,79,100,4.68,NZ,1605339337
50,Storforshei,66.4,14.52,37.0,88,100,8.01,NO,1605339984
51,Sitka,57.05,-135.33,35.6,85,90,8.05,US,1605339451
52,Avarua,-21.21,-159.78,71.6,88,100,1.12,CK,1605339475
53,Puerto Ayora,-0.74,-90.35,69.01,89,84,5.99,EC,1605339471
54,Khatanga,71.97,102.5,-16.13,89,100,9.73,RU,1605339474
55,Vredendal,-31.67,18.5,66.4,59,99,6.62,ZA,1605339985
56,Atambua,-9.11,124.89,85.51,54,0,1.9,ID,1605339985
57,Agadez,19.75,10.25,69.31,30,0,15.79,NE,1605339556
58,Kupang,-10.17,123.58,89.6,62,20,9.17,ID,1605339494
59,Catia La Mar,10.6,-67.03,69.01,70,100,4.7,VE,1605339986
60,Vacha,55.8,42.77,33.84,91,93,2.26,RU,1605339986
61,Vanimo,-2.67,141.3,82.98,75,99,4.61,PG,1605339537
62,Vaini,-21.2,-175.2,77.0,88,20,4.7,TO,1605339447
63,Fairbanks,64.84,-147.72,15.8,85,90,2.13,US,1605339332
64,Bathsheba,13.22,-59.52,75.2,94,40,5.82,BB,1605339508
65,Chokurdakh,70.63,147.92,-16.04,90,76,3.38,RU,1605339327
66,Mar del Plata,-38.0,-57.56,64.0,93,90,6.93,AR,1605339533
67,Bredasdorp,-34.53,20.04,68.0,56,43,8.05,ZA,1605339988
68,Severo-Kuril'sk,50.68,156.12,44.35,92,100,18.41,RU,1605339481
69,Pangkalanbuun,-2.68,111.62,84.63,82,94,3.85,ID,1605339988
70,Seoul,37.57,126.98,64.4,36,1,4.32,KR,1605339495
71,Poum,-20.23,164.02,77.97,84,0,16.26,NC,1605339989
72,City of Saint Peters,38.8,-90.63,39.99,55,1,3.36,US,1605339720
73,Nichinan,31.6,131.37,68.0,60,20,11.41,JP,1605339989
74,Atuona,-9.8,-139.03,77.7,76,24,15.37,PF,1605339445
75,Ormara,25.21,64.64,80.91,39,0,10.56,PK,1605339989
76,Luangwa,-15.62,30.42,88.03,40,1,10.98,ZM,1605339990
77,Vila Velha,-20.33,-40.29,75.99,83,90,12.75,BR,1605339508
78,Carpinteria,34.4,-119.52,57.99,68,0,6.11,US,1605339788
79,Yangi Marg`ilon,40.43,71.72,42.8,87,90,4.7,UZ,1605339472
80,Faanui,-16.48,-151.75,79.54,76,75,7.81,PF,1605339476
81,Ribeira Grande,38.52,-28.7,66.2,93,75,18.34,PT,1605339447
82,Laas,46.62,10.7,33.8,86,5,4.7,IT,1605339586
83,Airai,-8.93,125.41,75.45,61,13,2.26,TL,1605339475
84,Cape Town,-33.93,18.42,69.01,59,75,11.41,ZA,1605339446
85,Dargaville,-35.93,173.88,56.48,78,14,1.16,NZ,1605339992
86,Margate,51.38,1.39,57.0,91,100,4.0,GB,1605339513
87,Nishihara,26.18,127.76,78.8,61,40,14.99,JP,1605339992
88,San Cristobal,7.77,-72.22,66.87,89,95,0.16,VE,1605339493
89,Torbay,47.67,-52.73,37.99,80,90,10.29,CA,1605339322
90,Tasiilaq,65.61,-37.64,21.2,57,100,2.24,GL,1605339556
91,Haines Junction,60.75,-137.51,15.8,85,100,1.12,CA,1605339561
92,Laguna,38.42,-121.42,52.0,87,1,4.7,US,1605339993
93,Mossamedes,-15.2,12.15,73.29,70,60,4.0,AO,1605339564
94,Ballina,-28.87,153.57,91.4,61,50,12.75,AU,1605339993
95,Grindavik,63.84,-22.43,35.6,80,75,5.82,IS,1605339582
96,Jarwal,27.17,81.55,85.08,20,0,7.43,IN,1605339994
97,Lagoa,39.05,-27.98,65.86,91,100,17.67,PT,1605339506
98,Yucaipa,34.03,-117.04,46.0,87,0,0.4,US,1605339750
99,City of San Pedro,14.35,121.02,89.6,66,40,11.41,PH,1605339994
100,La Ronge,55.1,-105.28,10.4,92,100,2.24,CA,1605339473
101,São Filipe,14.9,-24.5,80.29,62,27,3.56,CV,1605339496
102,Carnarvon,-24.87,113.63,77.0,53,5,18.34,AU,1605339452
103,Jardim,-21.48,-56.14,71.65,85,0,3.04,BR,1605339995
104,Lorengau,-2.02,147.27,83.84,75,98,9.55,PG,1605339500
105,Lindi,-10.0,39.72,71.6,94,75,12.75,TZ,1605339995
106,Geraldton,-28.77,114.6,73.4,53,75,19.46,AU,1605339567
107,Colwyn Bay,53.29,-3.73,48.99,96,100,7.0,GB,1605339996
108,Arraial do Cabo,-22.97,-42.03,72.84,94,100,6.17,BR,1605339467
109,Shangzhi,45.22,127.97,39.15,63,0,1.66,CN,1605339996
110,Port Hueneme,34.15,-119.2,50.0,87,1,4.7,US,1605339997
111,Hithadhoo,-0.6,73.08,83.07,77,100,21.92,MV,1605339450
112,Butaritari,3.07,172.79,81.88,63,0,5.66,KI,1605339452
113,Hermanus,-34.42,19.23,70.0,59,88,8.01,ZA,1605339458
114,Kavieng,-2.57,150.8,83.82,77,3,14.14,PG,1605339459
115,Roquetas de Mar,36.76,-2.61,63.0,93,90,3.36,ES,1605339998
116,Nome,64.5,-165.41,19.4,62,1,18.34,US,1605339552
117,Danané,7.26,-8.15,70.77,60,0,0.69,CI,1605339998
118,Korhogo,9.45,-5.63,72.9,33,0,5.68,CI,1605339998
119,Yazman,29.12,71.74,85.87,15,0,6.08,PK,1605339449
120,Hilo,19.73,-155.09,73.4,78,75,3.36,US,1605339453
121,Lebu,-37.62,-73.65,46.4,85,4,8.3,CL,1605339455
122,Barrow,71.29,-156.79,19.4,73,90,14.99,US,1605339449
123,Quiruvilca,-7.97,-78.2,38.62,100,100,1.52,PE,1605339999
124,Ourém,39.64,-8.59,63.0,93,75,5.82,PT,1605339999
125,Tessalit,20.2,1.01,74.3,19,0,10.51,ML,1605340000
126,Krasnoarmeysk,51.02,45.7,33.96,100,95,9.24,RU,1605340000
127,Kangaatsiaq,68.31,-53.46,23.0,88,100,11.18,GL,1605340000
128,Narsaq,60.92,-46.05,15.8,61,57,5.82,GL,1605339481
129,Chui,-33.7,-53.46,60.12,97,2,3.65,UY,1605339562
130,Hong Kong,22.29,114.16,75.99,60,100,8.99,HK,1605339453
131,Belmonte,-15.86,-38.88,73.4,83,0,6.93,BR,1605340001
132,Tuatapere,-46.13,167.68,60.01,79,100,4.16,NZ,1605339448
133,Pitimbu,-7.47,-34.81,75.2,88,20,4.7,BR,1605339504
134,Cabo San Lucas,22.89,-109.91,68.0,69,23,3.0,MX,1605339497
135,Valença,-13.37,-39.07,73.26,94,85,3.06,BR,1605340002
136,Bambous Virieux,-20.34,57.76,80.6,78,40,6.93,MU,1605339466
137,Mana,5.66,-53.78,77.76,89,100,6.85,GF,1605340002
138,Paamiut,61.99,-49.67,24.87,86,0,31.25,GL,1605340002
139,Ostrołęka,53.09,21.58,41.0,94,86,3.0,PL,1605340003
140,Lenger,42.18,69.88,39.2,51,0,8.95,KZ,1605340003
141,Suntar,62.14,117.63,17.62,97,100,6.78,RU,1605340003
142,Rawson,-43.3,-65.1,59.34,39,0,23.53,AR,1605339493
143,Maceió,-9.67,-35.74,71.6,94,0,3.36,BR,1605339860
144,Saint George,37.1,-113.58,43.0,44,1,4.7,US,1605340004
145,Gejiu,23.31,103.16,61.23,48,0,1.74,CN,1605340004
146,Angoche,-16.23,39.91,80.56,55,57,12.19,MZ,1605340004
147,North Bend,43.41,-124.22,52.0,71,75,16.11,US,1605340005
148,Mahendranagar,28.92,80.33,80.56,34,2,4.81,NP,1605340005
149,Katsuura,35.13,140.3,66.99,55,20,11.41,JP,1605339472
150,Souillac,-20.52,57.52,80.6,78,40,6.93,MU,1605339491
151,Nuuk,64.18,-51.72,21.2,73,10,17.22,GL,1605339538
152,Udala,43.08,-2.51,46.0,96,16,4.0,ES,1605340006
153,Iquique,-20.22,-70.14,60.8,77,0,6.93,CL,1605339867
154,Codrington,-38.27,141.97,56.91,76,91,6.91,AU,1605339580
155,Pembroke Pines,26.0,-80.22,79.0,100,1,7.05,US,1605339786
156,Aklavik,68.22,-135.01,-0.4,84,57,5.82,CA,1605339578
157,Richards Bay,-28.78,32.04,81.16,56,0,14.18,ZA,1605340007
158,Mayumba,-3.43,10.66,80.02,81,98,5.79,GA,1605340007
159,Upernavik,72.79,-56.15,16.54,96,100,11.9,GL,1605339326
160,Porto-Novo,6.5,2.6,80.6,88,40,4.7,BJ,1605339484
161,Mitsamiouli,-11.38,43.28,80.76,74,100,10.4,KM,1605340008
162,Wanning,18.8,110.4,75.4,91,100,20.67,CN,1605340008
163,Lompoc,34.64,-120.46,48.2,93,1,8.59,US,1605339539
164,Thompson,55.74,-97.86,19.4,100,90,4.7,CA,1605339464
165,Lahaina,20.88,-156.68,75.2,69,20,12.75,US,1605339728
166,Ko Samui,9.54,99.94,80.92,81,100,13.8,TH,1605340009
167,Inuvik,68.35,-133.72,-0.4,84,58,5.82,CA,1605340009
168,Brae,60.4,-1.35,50.0,81,20,21.92,GB,1605339563
169,Raudeberg,61.99,5.14,50.0,76,64,23.04,NO,1605339519
170,Dhandhuka,22.37,71.98,91.89,35,0,9.86,IN,1605340010
171,Verishen,39.54,46.31,41.77,64,3,4.21,AM,1605340010
172,Padang,-0.95,100.35,85.05,71,94,4.12,ID,1605339245
173,Kurchum,48.57,83.65,36.93,59,99,1.72,KZ,1605340010
174,Negru Vodă,43.82,28.2,50.0,93,75,11.41,RO,1605340011
175,Province of Mantua,45.17,10.78,51.01,95,100,2.15,IT,1605340011
176,Balyqshy,47.07,51.87,37.4,55,0,17.9,KZ,1605340011
177,Mon,26.75,95.1,77.67,52,0,3.38,IN,1605340011
178,Talnakh,69.49,88.4,-22.0,74,20,4.47,RU,1605339453
179,Ahipara,-35.17,173.17,58.03,75,0,2.33,NZ,1605340012
180,Kruisfontein,-34.0,24.73,72.0,61,0,10.0,ZA,1605340012
181,Tiksi,71.69,128.87,-8.21,92,95,3.2,RU,1605339506
182,Ancud,-41.87,-73.82,48.99,93,75,4.7,CL,1605340013
183,Kavaratti,10.57,72.64,87.8,70,20,6.93,IN,1605339551
184,Hidrolândia,-4.41,-40.44,76.84,76,4,1.52,BR,1605340013
185,Muravlenko,63.79,74.52,-9.81,90,3,4.65,RU,1605340014
186,Sorrento,40.63,14.37,62.6,72,5,11.41,IT,1605340014
187,Yellowknife,62.46,-114.35,-2.2,77,75,8.05,CA,1605339456
188,Jaciara,-15.97,-54.97,70.74,89,100,2.1,BR,1605340014
189,Yaan,7.38,8.57,81.36,70,62,6.67,NG,1605339584
190,Jerécuaro,20.15,-100.52,55.4,100,5,4.09,MX,1605340015
191,Vaitape,-16.52,-151.75,80.4,75,76,7.78,PF,1605340015
192,Krasnogorsk,55.82,37.32,36.0,81,90,6.71,RU,1605340015
193,Dourbali,11.81,15.86,87.57,15,0,17.45,TD,1605340015
194,Balikpapan,-1.27,116.83,82.4,83,20,5.82,ID,1605340015
195,Solnechnyy,50.72,136.63,27.63,96,100,5.66,RU,1605340016
196,Cervo,43.67,-7.41,54.0,82,96,8.77,ES,1605340016
197,Deputatsky,69.3,139.9,-12.71,87,42,2.39,RU,1605339493
198,Perené,-10.95,-75.23,69.53,75,100,1.34,PE,1605340016
199,Tateyama,34.98,139.87,63.0,48,20,4.7,JP,1605340016
200,East London,-33.02,27.91,75.2,53,0,4.7,ZA,1605339467
201,Erbil,36.19,44.01,60.8,51,95,4.7,IQ,1605339951
202,Marawi,8.0,124.29,84.99,82,64,1.99,PH,1605340017
203,Mocuba,-16.84,36.99,86.25,34,0,5.1,MZ,1605340017
204,Urubamba,-13.3,-72.12,53.91,64,83,3.0,PE,1605340017
205,Zhuanghe,39.7,122.99,50.95,55,90,4.68,CN,1605340018
206,Chagoda,59.16,35.33,35.47,93,97,3.44,RU,1605339558
207,Sola,-13.88,167.55,81.84,82,61,15.73,VU,1605340018
208,Karpathos,35.51,27.21,66.2,55,40,20.8,GR,1605340019
209,Shache,38.42,77.24,54.03,29,94,5.95,CN,1605340019
210,Cherskiy,68.75,161.3,-8.48,86,90,6.35,RU,1605339499
211,Vila Franca do Campo,37.72,-25.43,64.4,93,40,6.93,PT,1605339463
212,Corinth,37.94,22.96,66.0,54,0,1.99,GR,1605340020
213,Fare,-16.7,-151.02,80.11,78,100,8.77,PF,1605339472
214,Kapaa,22.08,-159.32,78.8,78,1,16.11,US,1605339467
215,Mount Gambier,-37.83,140.77,62.6,63,75,5.82,AU,1605339548
216,Jérémie,18.65,-74.12,78.89,73,100,4.97,HT,1605340021
217,Kokubu-matsuki,31.73,130.77,68.0,60,40,8.05,JP,1605340021
218,Korāput,18.82,82.72,80.24,43,0,7.99,IN,1605340021
219,Yavoriv,49.94,23.38,44.01,100,0,2.24,UA,1605340021
220,Morondava,-20.28,44.28,82.9,54,0,8.48,MG,1605340022
221,‘Āhuimanu,21.44,-157.84,78.8,74,75,10.29,US,1605340022
222,Toora-Khem,52.47,96.11,24.04,80,13,1.72,RU,1605340022
223,Tautira,-17.73,-149.15,78.8,74,20,6.93,PF,1605340022
224,Stromness,58.97,-3.3,48.2,81,40,20.8,GB,1605340023
